Reference_Model,Compared_Model,t_statistic,p_value,alpha,is_significant
injection_aggregate,nb15_sat20_aggregate,422.23329536609305,1.1928975002330429e-20,0.05,YES
injection_aggregate,nb15_sat20_syn_ddos,629.8796245365304,6.820615897714005e-38,0.05,YES
injection_aggregate,nb15_sat20_udp_ddos,455.94725219463305,2.4901191714967376e-22,0.05,YES
injection_aggregate,nb15_stin_aggregate,422.21914536993927,1.1923156460268151e-20,0.05,YES
injection_aggregate,nb15_ter20_aggregate,422.2268121846756,1.1923090607663132e-20,0.05,YES
injection_aggregate,nb15_ter20_botnet,201.5742413743577,3.477219594254401e-24,0.05,YES
injection_aggregate,nb15_ter20_ddos,18.066804922605975,2.1765360825018927e-08,0.05,YES
injection_aggregate,nb15_ter20_syn_ddos,422.2096861209167,1.1863999843250125e-20,0.05,YES
injection_aggregate,nb15_ter20_udp_ddos,783.8889967278146,4.555685070170551e-23,0.05,YES
