Reference_Model,Compared_Model,t_statistic,p_value,alpha,is_significant
injection_aggregate,nb15_sat20_aggregate,25.1143414611652,1.9370425533250644e-10,0.05,YES
injection_aggregate,nb15_sat20_syn_ddos,56.626199336586765,8.408805638692473e-13,0.05,YES
injection_aggregate,nb15_sat20_udp_ddos,45.14038982102017,6.426180178639194e-12,0.05,YES
injection_aggregate,nb15_stin_aggregate,25.338939058566247,1.1169698927751207e-09,0.05,YES
injection_aggregate,nb15_ter20_aggregate,25.338939058566247,1.1169698927751207e-09,0.05,YES
injection_aggregate,nb15_ter20_botnet,13.12499292662361,9.059392373416372e-09,0.05,YES
injection_aggregate,nb15_ter20_ddos,45.14038982102017,6.426180178639194e-12,0.05,YES
injection_aggregate,nb15_ter20_syn_ddos,34.39103683517337,1.4012015603136536e-14,0.05,YES
injection_aggregate,nb15_ter20_udp_ddos,45.65092835906645,8.109777224804188e-18,0.05,YES
