feature,importance
duration,0.06947177557446708
src_bytes,0.1661850711521207
dst_bytes,0.03268256563694517
src_pkts,0.017333988490350623
dst_pkts,0.014373607443596495
src_win_byt,0.006130275111399103
dst_win_byt,0.0020652585777357936
load_s,0.14026717433636884
down_up_ratio,0.0335989530021958
total_bytes,0.18330665427057974
total_pkts,0.022766170392823564
src_mean_pkt_size,0.1618992373935367
dst_mean_pkt_size,0.030724599094243257
pkts_per_sec,0.07835653633223355
win_diff,0.004176741119920276
byte_ratio,0.03666139207148331
