feature,importance
duration,0.06258736585498335
src_bytes,0.1349786846458676
dst_bytes,0.05756815612017381
src_pkts,0.03656149000451272
dst_pkts,0.03255366695710242
src_win_byt,0.0035771180511846735
dst_win_byt,0.0017621352453554534
load_s,0.09182409038257731
down_up_ratio,0.06300901194972366
total_bytes,0.12687309821808113
total_pkts,0.03453878145219863
src_mean_pkt_size,0.15024587594330402
dst_mean_pkt_size,0.05303003146513755
pkts_per_sec,0.07038942469421555
win_diff,0.00277617697278615
byte_ratio,0.07772489204279599
