model_label,Aggregate nb15,DoS nb15,Exploits nb15,Fuzzers nb15,Generic nb15,Reconnaissance nb15,Aggregate injection,Aggregate nb15_stin,Aggregate nb15_sat20,Aggregate nb15_ter20,Syn_DDoS nb15_sat20,UDP_DDoS nb15_sat20,Botnet nb15_ter20,DDoS nb15_ter20,Syn_DDoS nb15_ter20,UDP_DDoS nb15_ter20, ,Average
HGB (Aggregate nb15_stin),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
HGB (Aggregate nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024166488888888982,5.833333333332053e-08,0.0005357848888888894,0.0,0.0,0.0,0.0,0.038327981,0.0,,0.002444093069444444
HGB (Aggregate nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
HGB (Syn_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
HGB (UDP_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
HGB (Botnet nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,4.4444444444444454e-08,0.01179299377777777,0.028619895999999995,0.0045754204444444415,0.13112679655555556,0.0,0.0,0.0,0.05878801433333333,0.1281571626666667,,0.02269127051388889
HGB (DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
HGB (Syn_DDoS nb15_ter20),0.0,0.0,2.5000000000000002e-08,4.444444444444444e-08,0.0,0.0,9.6e-08,0.001184389000000003,9.313444444444452e-06,0.002646017333333335,0.0,2.7000444444444446e-05,0.010651587666666667,0.002694110666666667,0.0,0.0,,0.0010757865000000004
HGB (UDP_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025958399999999955,0.0,0.0007266239999999998,0.0,0.0,0.0,0.0,0.05006637066666667,0.0,,0.003190786166666667
  ,,,,,,,,,,,,,,,,,,
HGB (Aggregate injection),3.957333333333409e-06,8.622777777777797e-06,9.36766666666664e-06,7.420111111111086e-06,3.333333333333203e-07,5.735666666666752e-06,3.980555555555553e-06,0.00817009388888889,0.008314824888888886,0.009903349444444452,0.009752654333333333,0.009493595555555553,0.01069301155555556,0.007356638222222219,0.05406248711111112,0.012971702666666661,,0.008172360944444445
