id,timestamp,model_name,dataset_type,classes,samples,train_split,random_state,max_depth,n_features_in,n_classes,n_estimators,max_features,criterion,min_samples_split,learning_rate,max_iter,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-15 10:11:15,rf_nb15_aggregate,nb15,"Reconnaissance, Normal, Fuzzers, DoS, Generic, Exploits",102300,0.8,12345,None,16,2,100,sqrt,gini,2,None,None,1522,18440,160,338,0.9757,0.9049,0.8183,0.8594,0.9702,0.9079,0.8183,0.1817,0.9914,0.0086
2,2026-07-15 10:11:22,rf_nb15_dos,nb15,"DoS, Normal",102300,0.8,12345,None,16,2,100,sqrt,gini,2,None,None,1733,18536,64,127,0.9907,0.9644,0.9317,0.9478,0.9945,0.9795,0.9317,0.0683,0.9966,0.0034
3,2026-07-15 10:11:29,rf_nb15_exploits,nb15,"Exploits, Normal",102300,0.8,12345,None,16,2,100,sqrt,gini,2,None,None,1684,18488,112,176,0.9859,0.9376,0.9054,0.9212,0.9902,0.9609,0.9054,0.0946,0.994,0.006
4,2026-07-15 10:11:34,rf_nb15_fuzzers,nb15,"Fuzzers, Normal",102300,0.8,12345,None,16,2,100,sqrt,gini,2,None,None,881,18010,590,979,0.9233,0.5989,0.4737,0.529,0.9156,0.605,0.4737,0.5263,0.9683,0.0317
5,2026-07-15 10:11:40,rf_nb15_generic,nb15,"Generic, Normal",102300,0.8,12345,None,16,2,100,sqrt,gini,2,None,None,1838,18593,7,22,0.9986,0.9962,0.9882,0.9922,0.9975,0.9954,0.9882,0.0118,0.9996,0.0004
6,2026-07-15 10:11:45,rf_nb15_reconnaissance,nb15,"Reconnaissance, Normal",102300,0.8,12345,None,16,2,100,sqrt,gini,2,None,None,1749,18528,72,111,0.9911,0.9605,0.9403,0.9503,0.9951,0.9772,0.9403,0.0597,0.9961,0.0039
7,2026-07-15 10:11:52,rf_injection_aggregate,injection,"Reconnaissance, Normal, Generic, Exploits, Fuzzers, DoS, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,0.8,12345,None,16,2,100,sqrt,gini,2,None,None,1537,18432,168,323,0.976,0.9015,0.8263,0.8623,0.9723,0.9156,0.8263,0.1737,0.991,0.009
