id,timestamp,model_name,dataset_type,classes,samples,train_split,n_estimators,max_features,random_state,n_features_in,criterion,max_depth,n_classes,contamination,max_samples,bootstrap,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-13 17:47:04,rf_model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,0.8,100,sqrt,42,16,gini,None,2,None,None,True,1550,18432,168,310,0.9766,0.9022,0.8333,0.8664,0.9715,0.914,0.8333,0.1667,0.991,0.009
2,2026-07-13 17:47:12,rf_model_nb15_dos,nb15,"DoS, Normal",102300,0.8,100,sqrt,42,16,gini,None,2,None,None,True,1746,18541,59,114,0.9915,0.9673,0.9387,0.9528,0.994,0.9795,0.9387,0.0613,0.9968,0.0032
3,2026-07-13 17:47:20,rf_model_nb15_exploits,nb15,"Exploits, Normal",102300,0.8,100,sqrt,42,16,gini,None,2,None,None,True,1681,18478,122,179,0.9853,0.9323,0.9038,0.9178,0.9881,0.9569,0.9038,0.0962,0.9934,0.0066
4,2026-07-13 17:47:29,rf_model_nb15_fuzzers,nb15,"Fuzzers, Normal",102300,0.8,100,sqrt,42,16,gini,None,2,None,None,True,954,18012,588,906,0.927,0.6187,0.5129,0.5608,0.9269,0.633,0.5129,0.4871,0.9684,0.0316
5,2026-07-13 17:47:35,rf_model_nb15_generic,nb15,"Generic, Normal",102300,0.8,100,sqrt,42,16,gini,None,2,None,None,True,1837,18594,6,23,0.9986,0.9967,0.9876,0.9922,0.998,0.9957,0.9876,0.0124,0.9997,0.0003
6,2026-07-13 17:47:40,rf_model_nb15_reconnaissance,nb15,"Reconnaissance, Normal",102300,0.8,100,sqrt,42,16,gini,None,2,None,None,True,1761,18524,76,99,0.9914,0.9586,0.9468,0.9527,0.9957,0.9813,0.9468,0.0532,0.9959,0.0041
7,2026-07-13 17:47:47,rf_model_injection_aggregate,injection,"Exploits, Normal, Generic, DoS, Reconnaissance, Fuzzers, Syn_DDoS, DDoS, Botnet, UDP_DDoS",102300,0.8,100,sqrt,42,16,gini,None,2,None,None,True,1511,18434,166,349,0.9748,0.901,0.8124,0.8544,0.9664,0.9025,0.8124,0.1876,0.9911,0.0089
8,2026-07-13 17:47:50,rf_model_smote_aggregate,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,0.8,100,sqrt,42,16,gini,None,2,None,None,True,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
9,2026-07-13 17:47:51,if_model_nb15_normal,nb15,Normal,93000,0.8,100,1.0,42,16,None,None,None,auto,auto,False,0,16620,1980,0,None,None,0.0,None,None,None,None,None,0.8935,0.1065
10,2026-07-13 17:47:53,if_model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,0.8,100,1.0,42,16,None,None,None,auto,auto,False,179,16601,1999,1681,0.8201,0.0822,0.0962,0.0887,0.4814,0.0877,0.0962,0.9038,0.8925,0.1075
