feature,importance
duration,0.13179603597222392
src_bytes,0.09678166249653
dst_bytes,0.05097075023965253
src_pkts,0.025522543700352705
dst_pkts,0.014066717246788136
src_win_byt,0.006680049120072234
dst_win_byt,0.0012510937610881866
load_s,0.15720410151832948
down_up_ratio,0.051662191808594125
total_bytes,0.08574943053828633
total_pkts,0.0203818172568044
src_mean_pkt_size,0.09555100247886252
dst_mean_pkt_size,0.05844901158352047
pkts_per_sec,0.13156594045631262
win_diff,0.0016553787246401885
byte_ratio,0.0707122730979422
