feature,importance
duration,0.003942254873279327
src_bytes,0.003926453073888496
dst_bytes,0.014567621717711652
src_pkts,0.0014375739631347548
dst_pkts,0.008306156497027166
src_win_byt,0.36912774375797247
dst_win_byt,0.3261482593242792
load_s,0.06472660120508976
down_up_ratio,0.02183425631927087
total_bytes,0.006633252704631269
total_pkts,0.0027801855948765917
src_mean_pkt_size,0.11858724921716596
dst_mean_pkt_size,0.01157369711412204
pkts_per_sec,0.025722127830504787
win_diff,4.7739028521972725e-05
byte_ratio,0.02063882777852373
