feature,importance
duration,0.02080593135025173
src_bytes,0.008649132425989747
dst_bytes,0.003715444168841987
src_pkts,0.0033860516300837484
dst_pkts,9.890689464313708e-07
src_win_byt,0.32865545928494966
dst_win_byt,0.28464868963853873
load_s,0.15155543390597423
down_up_ratio,0.0033610385873135066
total_bytes,0.0007514650381578094
total_pkts,0.02728264253954512
src_mean_pkt_size,0.03897025474882716
dst_mean_pkt_size,0.018365251622095565
pkts_per_sec,0.10603222744389065
win_diff,3.697258143711463e-05
byte_ratio,0.00378301596515692
