feature,importance
duration,0.00581971446110027
src_bytes,0.14734831256888906
dst_bytes,0.0036218399042080734
src_pkts,2.983091595255445e-06
dst_pkts,4.436323230980404e-06
src_win_byt,0.1790660736106352
dst_win_byt,0.07321188262118654
load_s,0.03480954292668562
down_up_ratio,9.9498278946138e-10
total_bytes,0.229884727370685
total_pkts,1.6122754887981287e-06
src_mean_pkt_size,0.18437780212070187
dst_mean_pkt_size,0.0036560339596258097
pkts_per_sec,0.01940838757438349
win_diff,0.11145952696104665
byte_ratio,0.007327123235554579
