model_label,Aggregate nb15,DoS nb15,Exploits nb15,Fuzzers nb15,Generic nb15,Reconnaissance nb15,Aggregate injection,Aggregate nb15_stin,Aggregate nb15_sat20,Aggregate nb15_ter20,Syn_DDoS nb15_sat20,UDP_DDoS nb15_sat20,Botnet nb15_ter20,DDoS nb15_ter20,Syn_DDoS nb15_ter20,UDP_DDoS nb15_ter20, ,Average
RF (Aggregate nb15_stin),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9995,0.9998000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.56265625
RF (Aggregate nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9995,0.9995499999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.562640625
RF (Aggregate nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9995,0.9996500000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.562646875
RF (Syn_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.33285,0.4688,0.22821000000000002,1.0,0.0,0.0,0.0,0.96462,1.0,,0.24968625000000003
RF (UDP_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9244,0.9371,0.9281900000000001,0.8699,1.0,1.0,1.0,0.5701400000000001,0.8602000000000001,,0.505820625
RF (Botnet nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9350999999999999,0.9536100000000001,0.9347100000000002,0.90328,1.0,1.0,1.0,0.5753,0.89499,,0.5125118750000001
RF (DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.00285,0.74942,0.66761,0.81817,0.29054,1.0,1.0,1.0,0.15785,0.29247,,0.373681875
RF (Syn_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9994400000000001,1.0,0.9999499999999999,1.0,1.0,0.9999499999999999,0.99985,1.0,1.0,,0.562649375
RF (UDP_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.3355,0.4688,0.23280000000000003,1.0,0.0,0.0,0.0,1.0,1.0,,0.25235
  ,,,,,,,,,,,,,,,,,,
RF (Aggregate injection),0.82211,0.9163,0.8593299999999999,0.24306,0.99125,0.8598399999999999,0.8255800000000001,0.99253,0.99954,0.986,0.99914,0.9996500000000001,0.98451,1.0,0.9396800000000001,0.99285,,0.900710625
