feature,importance
duration,0.04689056942447257
src_bytes,0.14820089640539752
dst_bytes,0.046786244058792614
src_pkts,0.02179506395750431
dst_pkts,0.022385183858694993
src_win_byt,0.008643385604199685
dst_win_byt,0.0028086657918390953
load_s,0.15673496091600633
down_up_ratio,0.05614933124917569
total_bytes,0.19793596383783774
total_pkts,0.021192186382753744
src_mean_pkt_size,0.16561072691062587
dst_mean_pkt_size,0.03153290956153516
pkts_per_sec,0.03443787915555156
win_diff,0.004601029981491065
byte_ratio,0.03429500290412211
