feature,importance
duration,0.03810143447897789
src_bytes,0.218549024723581
dst_bytes,0.008816654218011127
src_pkts,0.00379132746107838
dst_pkts,0.011372452644274791
src_win_byt,0.0037086782965668587
dst_win_byt,0.00016292276936379513
load_s,0.1780918373782259
down_up_ratio,0.0053284416698165665
total_bytes,0.2651968122007174
total_pkts,0.01683794836125205
src_mean_pkt_size,0.17517014824461347
dst_mean_pkt_size,0.012289249647324552
pkts_per_sec,0.04947233884151806
win_diff,0.0036814863287594683
byte_ratio,0.009429242735918721
