feature,importance
duration,0.031319332004148236
src_bytes,0.18049239227608907
dst_bytes,0.01748748960673485
src_pkts,0.010339738017162441
dst_pkts,0.00843812592960995
src_win_byt,0.004869083128236378
dst_win_byt,0.0008006029875899612
load_s,0.10494342076157909
down_up_ratio,0.03399828375272182
total_bytes,0.18909207264475839
total_pkts,0.016087957077564944
src_mean_pkt_size,0.20606160536089294
dst_mean_pkt_size,0.07162979869810443
pkts_per_sec,0.03606711164064489
win_diff,0.0023248924075385015
byte_ratio,0.08604809370662407
