model_label,Aggregate nb15,DoS nb15,Exploits nb15,Fuzzers nb15,Generic nb15,Reconnaissance nb15,Aggregate injection,Aggregate nb15_stin,Aggregate nb15_sat20,Aggregate nb15_ter20,Syn_DDoS nb15_sat20,UDP_DDoS nb15_sat20,Botnet nb15_ter20,DDoS nb15_ter20,Syn_DDoS nb15_ter20,UDP_DDoS nb15_ter20, ,Average
RF (Aggregate nb15),1.5538888888889333e-06,4.172888888888924e-06,3.7039999999999344e-06,5.1809999999999865e-06,1.916666666666617e-07,7.405555555555675e-07,3.1365555555555083e-06,0.00018052044444444456,0.0007189444444444444,5.0056e-05,0.0,0.0026458049999999985,0.0001115315555555555,5.43205555555556e-05,0.0,0.0,,0.00023624115972222212
RF (DoS nb15),2.375555555555581e-06,6.671111111111086e-07,1.1929888888888982e-05,1.936555555555539e-06,4.440000000000168e-07,8.508455555555562e-05,2.1867777777776962e-06,0.005103137333333336,0.014489297333333337,0.0013103484444444448,0.07416418400000002,0.002204222777777782,0.001134409,0.00021183877777777776,0.02908537877777778,0.057040447222222235,,0.011552993006944446
RF (Exploits nb15),1.4226666666667123e-06,2.1356666666667447e-06,4.592888888888702e-06,2.975555555555549e-06,8.400000000000014e-08,2.0965555555555797e-06,3.955111111111091e-06,0.0016808854444444448,0.005492655999999999,0.0009903587777777777,0.0,0.01953545155555555,0.007037880999999999,0.0006638506666666668,0.0,0.0,,0.002213646618055555
RF (Fuzzers nb15),2.529333333333338e-06,2.8928888888888304e-06,1.0956111111111114e-05,2.9737777777777973e-06,6.94444444444445e-08,3.7382222222222064e-06,5.3205555555555284e-06,0.0015322773333333321,0.0010543106666666678,0.004545451555555557,0.0,0.0042541715555555505,4.17409999999998e-05,0.020957464888888905,0.0,0.0,,0.002025868583333334
RF (Generic nb15),1.7816555555555678e-05,0.00014626622222222222,4.3175555555555646e-05,1.1146222222222198e-05,1.069888888888927e-06,5.60277777777779e-06,1.582988888888938e-05,0.00030484266666666685,0.0007135743333333335,0.0003003804444444444,0.0,0.002742004,0.0032715106666666677,3.327511111111111e-05,0.0,0.0,,0.00047540589583333344
RF (Reconnaissance nb15),0.00010950544444444452,3.510666666666775e-06,7.5405555555556385e-06,6.445555555555448e-07,0.00032723433333333243,1.718333333333397e-06,3.6841000000000205e-05,5.432222222222226e-07,2.275666666666666e-06,0.0,0.0,1.2832222222222235e-06,1.2222222222222217e-07,2.5e-08,0.0,0.0,,3.070276388888886e-05
  ,,,,,,,,,,,,,,,,,,
RF (Aggregate injection),2.752111111111129e-06,2.7311111111110716e-06,2.4112222222220957e-06,9.23822222222226e-06,5.833333333331933e-08,2.1715555555555303e-06,3.5973333333332913e-06,9.124900000000018e-05,9.377777777776534e-08,0.0002277155555555551,7.3960000000001076e-06,5.833333333332198e-08,0.0013943143333333343,0.0,0.00021460622222222245,0.0002627716666666669,,0.0001388227986111112
