id,dataset_type,path
1,nb15,data/nb15_prep/scaled/nb15_prep_scaled.csv
2,nb15,data/nb15_prep/normal_anomaly/Normal_DoS.csv
3,nb15,data/nb15_prep/normal_anomaly/Normal_Exploits.csv
4,nb15,data/nb15_prep/normal_anomaly/Normal_Fuzzers.csv
5,nb15,data/nb15_prep/normal_anomaly/Normal_Generic.csv
6,nb15,data/nb15_prep/normal_anomaly/Normal_Reconnaissance.csv
7,hybrid,data/hybrid_prep/scaled/hybrid_prep_scaled.csv
8,nb15_sat20,data/hybrid_prep/scaled/nb15_sat20_prep_scaled.csv
9,nb15_ter20,data/hybrid_prep/scaled/nb15_ter20_prep_scaled.csv
