feature,importance
duration,0.003923015551126823
src_bytes,0.003902963136312414
dst_bytes,0.014573301297935892
src_pkts,0.0014447180336037483
dst_pkts,0.008744590414108194
src_win_byt,0.3695449238333149
dst_win_byt,0.3253501596465569
load_s,0.064714588364262
down_up_ratio,0.02452988453144741
total_bytes,0.006680732015245814
total_pkts,0.0027768164816498165
src_mean_pkt_size,0.11859086118469735
dst_mean_pkt_size,0.01156942864270241
pkts_per_sec,0.02566553908708293
win_diff,4.4825290735800125e-05
byte_ratio,0.01794365248921758
