feature,importance
duration,0.011748296832516244
src_bytes,0.03477530304569691
dst_bytes,0.01535678742608354
src_pkts,0.003116121740327233
dst_pkts,0.003172262244444836
src_win_byt,0.24955303302377577
dst_win_byt,0.3378032870765317
load_s,0.073933756174168
down_up_ratio,0.0035190370679970924
total_bytes,0.014672658714300034
total_pkts,0.0024969451796560465
src_mean_pkt_size,0.06601193551426793
dst_mean_pkt_size,0.03401585090410689
pkts_per_sec,0.07897970116065366
win_diff,0.05979228735660135
byte_ratio,0.011052736538872777
