feature,importance
duration,0.03837338591319769
src_bytes,0.2075437053454836
dst_bytes,0.008750558950862374
src_pkts,0.0037155084435289898
dst_pkts,0.011451471347627902
src_win_byt,0.0026633917991447133
dst_win_byt,0.00012510177325162874
load_s,0.1796070333817004
down_up_ratio,0.0054043521086075096
total_bytes,0.28596864597041805
total_pkts,0.01673905576215538
src_mean_pkt_size,0.16255282677411653
dst_mean_pkt_size,0.012443533275878502
pkts_per_sec,0.050214006270120556
win_diff,0.004832868981625024
byte_ratio,0.009614553902281178
