feature,importance
duration,1.2942798794307278e-05
src_bytes,0.14881289134398842
dst_bytes,0.003621839904208074
src_pkts,0.0
dst_pkts,5.936676813111015e-06
src_win_byt,0.18080507710649335
dst_win_byt,0.0759712391800618
load_s,0.024382097235018472
down_up_ratio,9.949827894613801e-10
total_bytes,0.22987730455850705
total_pkts,1.6122754887981289e-06
src_mean_pkt_size,0.1877225111886609
dst_mean_pkt_size,0.00365603408494413
pkts_per_sec,0.02580590968858829
win_diff,0.10836839810054183
byte_ratio,0.010956204862908795
