feature,importance
duration,0.06303578360442198
src_bytes,0.13893375096667954
dst_bytes,0.06189852907121747
src_pkts,0.03642228930795019
dst_pkts,0.03010759084617465
src_win_byt,0.0038868556069925936
dst_win_byt,0.002157321989355559
load_s,0.08692849858911751
down_up_ratio,0.06392416285485329
total_bytes,0.13362632135643593
total_pkts,0.034808589310918805
src_mean_pkt_size,0.15086683476671717
dst_mean_pkt_size,0.055718171024909
pkts_per_sec,0.06544727591549795
win_diff,0.002872187593770525
byte_ratio,0.06936583719498782
