feature,importance
duration,0.02175490332359962
src_bytes,0.007901219302329496
dst_bytes,0.0037182670919113947
src_pkts,0.00338436376546439
dst_pkts,1.23617275984404e-06
src_win_byt,0.32902985904101184
dst_win_byt,0.2861231812557421
load_s,0.15083671906001142
down_up_ratio,0.0033612352622139612
total_bytes,0.0017135349050429066
total_pkts,0.027283972480320058
src_mean_pkt_size,0.040513648712711126
dst_mean_pkt_size,0.0183833550955309
pkts_per_sec,0.10188205002778128
win_diff,5.834797171250245e-05
byte_ratio,0.004054106531857221
