feature,importance
duration,0.04659081085515118
src_bytes,0.1563616995678656
dst_bytes,0.04589293891563189
src_pkts,0.02263698983190658
dst_pkts,0.021202240497428183
src_win_byt,0.008010888312203054
dst_win_byt,0.0022827164781968096
load_s,0.15509996248503333
down_up_ratio,0.056560998184305766
total_bytes,0.18703401231231223
total_pkts,0.022162008351668244
src_mean_pkt_size,0.17090027007956518
dst_mean_pkt_size,0.03331859612668983
pkts_per_sec,0.03156442524783063
win_diff,0.005243550584114853
byte_ratio,0.03513789217009658
